333060.402 0.0 0.0 0.0 0.0 0.0 0.0 
0.0553 -9.626357124183380E-02 -4.557654260842608E-01 -2.840915783634679E-02 7.9924080301 -1.6046963949 -0.8643732522 
0.815 -2.715537538692874E-02 -7.262766674358362E-01 -8.390749969808474E-03 7.3333008248 -0.3037992535 -0.4273431862 
1.0 -8.777916691010037E-01 4.555961838676875E-01 -1.101667651171351E-05 -2.9956734844 -5.599089456 0.0000129628244724466 
0.107 -1.549512430700699E+00 -4.869142672269594E-01 2.782545838491001E-02 1.7228349076 -4.4395373951 -0.1353163488 
0.0123 -5.282920147863448E+00 1.229551676133732E+00 1.131060102472700E-01 -0.6584133367	-2.5564289788 0.0253574296 
0.0123 -8.799260602942014E-01 4.571544156225674E-01 -1.241325981777504E-04 -3.1260272561 -5.7638750446 0.0167760191 
95.159 -3.459440600359681E+00 -9.396098710593840E+00 3.010369985635146E-01 1.800906143	-0.7124010788 -0.0592458294 
14.536 1.879875181655072E+01 6.736399872494188E+00 -2.184028891724749E-01 -0.4952188595	1.282847023 0.0111603897 
17.147 2.800912085899798E+01 -1.062139996879531E+01 -4.267318894764380E-01 0.3986950831	1.0765249267 -0.031266099 
0.0021 8.695416221644022E+00 -3.186947795209875E+01 8.938836892068558E-01 1.1293863482	0.0604656142 -0.3380921741 
3.683858E-11 -2.047764563942615E+01 2.559030130795416E+01 -9.849615366526415E+00 0.0041484771 0.305677558 -0.0499122221 
